Query,Genus/Species,Nucleotide_acc,Protein_acc,start,end,dir,PfamID1,Description
WP_042260945.1,Nocardia brasiliensis,NZ_CP022088.1,WP_042260957.1,830272,829231,-,PF00487,Fatty acid desaturase
WP_042260945.1,Nocardia brasiliensis,NZ_CP022088.1,WP_042260955.1,831228,830478,-,PF01909,Nucleotidyltransferase domain
WP_042260945.1,Nocardia brasiliensis,NZ_CP022088.1,WP_042261021.1,831464,832493,+,PF07992,Pyridine nucleotide-disulphide oxidoreductase
WP_042260945.1,Nocardia brasiliensis,NZ_CP022088.1,WP_081869151.1,832710,832509,-,,
WP_042260945.1,Nocardia brasiliensis,NZ_CP022088.1,WP_042260953.1,834908,832793,-,PF03176,MMPL family
WP_042260945.1,Nocardia brasiliensis,NZ_CP022088.1,WP_042260951.1,836104,834904,-,,
WP_042260945.1,Nocardia brasiliensis,NZ_CP022088.1,WP_042260949.1,837185,836135,-,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family
WP_042260945.1,Nocardia brasiliensis,NZ_CP022088.1,WP_042260947.1,837448,837181,-,,
WP_042260945.1,Nocardia brasiliensis,NZ_CP022088.1,WP_042260945.1,839118,837444,-,PF00501,AMP-binding enzyme
WP_042260945.1,Nocardia brasiliensis,NZ_CP022088.1,WP_042260944.1,840029,839114,-,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_042260945.1,Nocardia brasiliensis,NZ_CP022088.1,WP_042260942.1,841087,840037,-,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_042260945.1,Nocardia brasiliensis,NZ_CP022088.1,WP_042260940.1,842243,841577,-,PF00440,"Bacterial regulatory proteins, tetR family"
WP_042260945.1,Nocardia brasiliensis,NZ_CP022088.1,WP_088606744.1,842357,843290,+,PF00970,Oxidoreductase FAD-binding domain
WP_042260945.1,Nocardia brasiliensis,NZ_CP022088.1,WP_042260939.1,843976,843304,-,PF00440,"Bacterial regulatory proteins, tetR family"
WP_042260945.1,Nocardia brasiliensis,NZ_CP022088.1,WP_042260937.1,844124,845696,+,PF00171,Aldehyde dehydrogenase family
WP_042260945.1,Nocardia brasiliensis,NZ_CP022088.1,WP_042260935.1,845728,846559,+,PF00106,short chain dehydrogenase
WP_052280508.1,Nocardia vulneris,NZ_BDCI01000029.1,WP_043669161.1,128016,128817,+,PF05175,Methyltransferase small domain
WP_052280508.1,Nocardia vulneris,NZ_BDCI01000029.1,WP_043669164.1,129652,128821,-,PF00106,short chain dehydrogenase
WP_052280508.1,Nocardia vulneris,NZ_BDCI01000029.1,WP_014986238.1,129685,131257,+,,
WP_052280508.1,Nocardia vulneris,NZ_BDCI01000029.1,WP_043669167.1,131405,132077,+,PF00440,"Bacterial regulatory proteins, tetR family"
WP_052280508.1,Nocardia vulneris,NZ_BDCI01000029.1,WP_082032008.1,132862,132145,-,PF00970,Oxidoreductase FAD-binding domain
WP_052280508.1,Nocardia vulneris,NZ_BDCI01000029.1,WP_052280507.1,133138,133804,+,PF00440,"Bacterial regulatory proteins, tetR family"
WP_052280508.1,Nocardia vulneris,NZ_BDCI01000029.1,WP_043669169.1,134295,135345,+,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_052280508.1,Nocardia vulneris,NZ_BDCI01000029.1,WP_043669172.1,135353,136271,+,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_052280508.1,Nocardia vulneris,NZ_BDCI01000029.1,WP_052280508.1,136267,137941,+,PF00501,AMP-binding enzyme
WP_052280508.1,Nocardia vulneris,NZ_BDCI01000029.1,WP_043669175.1,137937,138204,+,,
WP_052280508.1,Nocardia vulneris,NZ_BDCI01000029.1,WP_052280509.1,138200,139250,+,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family
WP_052280508.1,Nocardia vulneris,NZ_BDCI01000029.1,WP_043669181.1,139281,140481,+,,
WP_052280508.1,Nocardia vulneris,NZ_BDCI01000029.1,WP_043669184.1,140477,142592,+,PF03176,MMPL family
WP_052280508.1,Nocardia vulneris,NZ_BDCI01000029.1,WP_052280510.1,142675,142876,+,,
WP_052280508.1,Nocardia vulneris,NZ_BDCI01000029.1,WP_043669479.1,143921,142892,-,PF07992,Pyridine nucleotide-disulphide oxidoreductase
WP_052280508.1,Nocardia vulneris,NZ_BDCI01000029.1,WP_043669192.1,144155,144905,+,PF01909,Nucleotidyltransferase domain
WP_052280508.1,Nocardia vulneris,NZ_BDCI01000029.1,WP_052280511.1,145112,146153,+,PF00487,Fatty acid desaturase
WP_014986244.1,Nocardia brasiliensis,NZ_LRRM01000025.1,WP_051066772.1,41266,40225,-,PF00487,Fatty acid desaturase
WP_014986244.1,Nocardia brasiliensis,NZ_LRRM01000025.1,WP_014986250.1,42222,41472,-,PF01909,Nucleotidyltransferase domain
WP_014986244.1,Nocardia brasiliensis,NZ_LRRM01000025.1,WP_041564440.1,42455,43484,+,PF07992,Pyridine nucleotide-disulphide oxidoreductase
WP_014986244.1,Nocardia brasiliensis,NZ_LRRM01000025.1,WP_041562907.1,43701,43500,-,,
WP_014986244.1,Nocardia brasiliensis,NZ_LRRM01000025.1,WP_014986248.1,45899,43784,-,PF03176,MMPL family
WP_014986244.1,Nocardia brasiliensis,NZ_LRRM01000025.1,WP_014986247.1,47095,45895,-,,
WP_014986244.1,Nocardia brasiliensis,NZ_LRRM01000025.1,WP_014986246.1,48176,47126,-,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family
WP_014986244.1,Nocardia brasiliensis,NZ_LRRM01000025.1,WP_014986245.1,48439,48172,-,,
WP_014986244.1,Nocardia brasiliensis,NZ_LRRM01000025.1,WP_014986244.1,50109,48435,-,PF00501,AMP-binding enzyme
WP_014986244.1,Nocardia brasiliensis,NZ_LRRM01000025.1,WP_014986243.1,51020,50105,-,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_014986244.1,Nocardia brasiliensis,NZ_LRRM01000025.1,WP_014986242.1,52078,51028,-,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_014986244.1,Nocardia brasiliensis,NZ_LRRM01000025.1,WP_014986241.1,53247,52581,-,PF00440,"Bacterial regulatory proteins, tetR family"
WP_014986244.1,Nocardia brasiliensis,NZ_LRRM01000025.1,WP_014986240.1,53361,54240,+,PF00970,Oxidoreductase FAD-binding domain
WP_014986244.1,Nocardia brasiliensis,NZ_LRRM01000025.1,WP_014986239.1,54980,54308,-,PF00440,"Bacterial regulatory proteins, tetR family"
WP_014986244.1,Nocardia brasiliensis,NZ_LRRM01000025.1,WP_014986238.1,55128,56700,+,PF00171,Aldehyde dehydrogenase family
WP_014986244.1,Nocardia brasiliensis,NZ_LRRM01000025.1,WP_014986237.1,56732,57563,+,PF00106,short chain dehydrogenase
WP_051727932.1,Nocardia brasiliensis IFM 10847,NZ_BAUA01000100.1,WP_029899063.1,45964,44923,-,PF00487,Fatty acid desaturase
WP_051727932.1,Nocardia brasiliensis IFM 10847,NZ_BAUA01000100.1,WP_029899064.1,46921,46171,-,PF01909,Nucleotidyltransferase domain
WP_051727932.1,Nocardia brasiliensis IFM 10847,NZ_BAUA01000100.1,WP_029899065.1,47156,48188,+,PF07992,Pyridine nucleotide-disulphide oxidoreductase
WP_051727932.1,Nocardia brasiliensis IFM 10847,NZ_BAUA01000100.1,WP_081878179.1,48405,48204,-,,
WP_051727932.1,Nocardia brasiliensis IFM 10847,NZ_BAUA01000100.1,WP_029899066.1,50603,48488,-,PF03176,MMPL family
WP_051727932.1,Nocardia brasiliensis IFM 10847,NZ_BAUA01000100.1,WP_029899067.1,51799,50599,-,,
WP_051727932.1,Nocardia brasiliensis IFM 10847,NZ_BAUA01000100.1,WP_029899068.1,52880,51830,-,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family
WP_051727932.1,Nocardia brasiliensis IFM 10847,NZ_BAUA01000100.1,WP_014986245.1,53143,52876,-,,
WP_051727932.1,Nocardia brasiliensis IFM 10847,NZ_BAUA01000100.1,WP_051727932.1,54813,53139,-,PF00501,AMP-binding enzyme
WP_051727932.1,Nocardia brasiliensis IFM 10847,NZ_BAUA01000100.1,WP_029899070.1,55724,54809,-,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_051727932.1,Nocardia brasiliensis IFM 10847,NZ_BAUA01000100.1,WP_029899071.1,56782,55732,-,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_051727932.1,Nocardia brasiliensis IFM 10847,NZ_BAUA01000100.1,WP_051727933.1,57938,57272,-,PF00440,"Bacterial regulatory proteins, tetR family"
WP_051727932.1,Nocardia brasiliensis IFM 10847,NZ_BAUA01000100.1,WP_081878180.1,58052,58931,+,PF00970,Oxidoreductase FAD-binding domain
WP_051727932.1,Nocardia brasiliensis IFM 10847,NZ_BAUA01000100.1,WP_029899074.1,59672,59000,-,PF00440,"Bacterial regulatory proteins, tetR family"
WP_051727932.1,Nocardia brasiliensis IFM 10847,NZ_BAUA01000100.1,WP_029899075.1,59820,61392,+,PF00171,Aldehyde dehydrogenase family
WP_051727932.1,Nocardia brasiliensis IFM 10847,NZ_BAUA01000100.1,WP_029899076.1,61424,62255,+,PF00106,short chain dehydrogenase
WP_069166284.1,Nocardia altamirensis NBRC 108246,NZ_BDAY01000082.1,WP_084655305.1,6905,7814,+,PF02698,DUF218 domain
